Beggar	AgeClass	DOB	Sex	Mother	Species_Item_Simple	ProcessingSteps_Complexity	PopFreq_Rarity	NrFEventsMother	NrBeggingEvents	BeggingRate	NrSuccess	SuccessRate	FollowHours	BeggingFreq
Frankie	2	01/08/2012	male	Friska	MLK_FR	2.35	0.246574575	882	1	0.001134	1	1.00	793.0	0.00126098
Eden	0.5	01/11/2014	female	Ellie	MLK_FR	2.35	0.246574575	936	3	0.003205	0	0.00	1067.0	0.00281175
Eden	2.5	01/11/2014	female	Ellie	MLK_FR	2.35	0.246574575	915	1	0.001093	1	1.00	885.0	0.00112992
Cinnamon	5	01/04/2012	female	Cissy	MLK_FR	2.35	0.246574575	1316	1	0.000760	0	0.00	566.7	0.00176465
Cinnamon	5.5	01/04/2012	female	Cissy	MLK_FR	2.35	0.246574575	1534	1	0.000652	0	0.00	373.9	0.00267439
Eden	3	01/11/2014	female	Ellie	MLK_FR	2.35	0.246574575	1371	4	0.002918	0	0.00	688.8	0.00580720
Frankie	6.5	01/08/2012	male	Friska	MLK_FR	2.35	0.246574575	283	2	0.007067	2	1.00	242.5	0.00824629
Frankie	5.5	01/08/2012	male	Friska	MLK_FR	2.35	0.246574575	122	1	0.008197	0	0.00	381.8	0.00261940
Frankie	1	01/08/2012	male	Friska	MNGH_FR	3	0.027907854	98	5	0.051020	2	0.40	1036.8	0.00482253
Lois	3.5	01/07/2010	male	Lisa	MNGH_FR	3	0.027907854	578	1	0.001730	0	0.00	1206.5	0.00082882
Eden	0.5	01/11/2014	female	Ellie	MNGH_FR	3	0.027907854	491	9	0.018330	0	0.00	1067.0	0.00843526
Cinnamon	5	01/04/2012	female	Cissy	MNGH_FR	3	0.027907854	116	1	0.008621	1	1.00	566.7	0.00176465
Lois	6.5	01/07/2010	male	Lisa	MNGH_FR	3	0.027907854	80	1	0.012500	0	0.00	874.4	0.00114362
Cinnamon	6.5	01/04/2012	female	Cissy	PRD_FR	3	0.005951501	42	1	0.023810	0	0.00	219.2	0.00456308
Fredy	6	01/01/2005	male	Friska	PWN_FR	2	0.046562346	16	1	0.062500	0	0.00	334.8	0.00298730
Frankie	1	01/08/2012	male	Friska	PWN_FR	2	0.046562346	329	13	0.039514	8	0.62	1036.8	0.01253858
Simba	1	01/04/2013	male	Sarabi	PWN_FR	2	0.046562346	478	4	0.008368	0	0.00	164.1	0.02437043
Frankie	1	01/08/2012	male	Friska	RAYAP_IN	3	0.086011424	362	8	0.022099	2	0.25	1036.8	0.00771605
Simba	1	01/04/2013	male	Sarabi	RAYAP_IN	3	0.086011424	240	2	0.008333	0	0.00	164.1	0.01218522
Lois	3.5	01/07/2010	male	Lisa	RAYAP_IN	3	0.086011424	834	2	0.002398	0	0.00	1206.5	0.00165764
Cinnamon	2.5	01/04/2012	female	Cissy	RAYAP_IN	3	0.086011424	162	1	0.006173	1	1.00	655.4	0.00152579
Eden	0.5	01/11/2014	female	Ellie	RAYAP_IN	3	0.086011424	120	2	0.016667	1	0.50	1067.0	0.00187450
Cinnamon	3	01/04/2012	female	Cissy	RAYAP_IN	3	0.086011424	103	1	0.009709	1	1.00	604.0	0.00165563
Eden	2	01/11/2014	female	Ellie	RAYAP_IN	3	0.086011424	139	5	0.035971	3	0.60	937.7	0.00533210
Frankie	4.5	01/08/2012	male	Friska	RAYAP_IN	3	0.086011424	102	7	0.068627	3	0.43	591.3	0.01183899
Cinnamon	5	01/04/2012	female	Cissy	RAYAP_IN	3	0.086011424	798	5	0.006266	3	0.60	566.7	0.00882327
Lois	6.5	01/07/2010	male	Lisa	RAYAP_IN	3	0.086011424	30	4	0.133333	0	0.00	874.4	0.00457448
Eden	2.5	01/11/2014	female	Ellie	RAYAP_IN	3	0.086011424	811	12	0.014797	5	0.42	885.0	0.01355907
Tornado	3	01/06/2014	male	Tiara	RAYAP_IN	3	0.086011424	24	1	0.041667	1	1.00	50.6	0.01976936
Cinnamon	5.5	01/04/2012	female	Cissy	RAYAP_IN	3	0.086011424	650	2	0.003077	1	0.50	373.9	0.00534879
Lois	7	01/07/2010	male	Lisa	RAYAP_IN	3	0.086011424	1326	2	0.001508	1	0.50	858.2	0.00233046
Eden	3.5	01/11/2014	female	Ellie	RAYAP_IN	3	0.086011424	28	21	0.750000	2	0.10	518.7	0.04048583
Cinnamon	6.5	01/04/2012	female	Cissy	RAYAP_IN	3	0.086011424	224	4	0.017857	3	0.75	219.2	0.01825234
Lois	3	01/07/2010	male	Lisa	RGH_FR	3	0.000489164	7	2	0.285714	0	0.00	1289.9	0.00155051
Frankie	5	01/08/2012	male	Friska	RP_VE	0	0.001498066	7	1	0.142857	0	0.00	499.1	0.00200361
Frankie	4.5	01/08/2012	male	Friska	RSKB_LV	0	0.001228007	6	3	0.500000	1	0.33	591.3	0.00507385
Pepito	5.5	01/01/2013	male	Piniata	RSKP_FR	1	0.008799865	53	1	0.018868	0	0.00	31.1	0.03218884
Cinnamon	2	01/04/2012	female	Cissy	RSKP_LV	0	0.02737283	151	1	0.006623	0	0.00	768.7	0.00130093
Lois	6.5	01/07/2010	male	Lisa	RSKP_LV	0	0.02737283	22	4	0.181818	0	0.00	874.4	0.00457448
Frankie	1	01/08/2012	male	Friska	RSKP_LV	0	0.02737283	24	2	0.083333	1	0.50	1036.8	0.00192901
Lois	3.5	01/07/2010	male	Lisa	RSKP_LV	0	0.02737283	262	1	0.003817	0	0.00	1206.5	0.00082882
Frankie	1	01/08/2012	male	Friska	RSKU_FR	1	0.008539997	611	10	0.016367	6	0.60	1036.8	0.00964506
Frankie	1	01/08/2012	male	Friska	RTKS_VE	1	0.013854565	20	5	0.250000	3	0.60	1036.8	0.00482253
Lois	3	01/07/2010	male	Lisa	RTKS_VE	1	0.013854565	132	3	0.022727	1	0.33	1289.9	0.00232576
Cinnamon	3	01/04/2012	female	Cissy	RTKS_VE	1	0.013854565	12	1	0.083333	1	1.00	604.0	0.00165563
Cinnamon	5	01/04/2012	female	Cissy	RTKS_VE	1	0.013854565	36	1	0.027778	1	1.00	566.7	0.00176465
Lois	7	01/07/2010	male	Lisa	RTKS_VE	1	0.013854565	300	1	0.003333	0	0.00	858.2	0.00116523
Luther	1.5	01/02/2016	male	Lilly	RTKS_VE	1	0.013854565	12	1	0.083333	0	0.00	72.8	0.01373941
Frankie	5.5	01/08/2012	male	Friska	RTKS_VE	1	0.013854565	8	1	0.125000	1	1.00	381.8	0.00261940
Eden	3.5	01/11/2014	female	Ellie	RTKS_VE	1	0.013854565	20	3	0.150000	1	0.33	518.7	0.00578369
Cinnamon	6.5	01/04/2012	female	Cissy	RTKS_VE	1	0.013854565	50	7	0.140000	6	0.86	219.2	0.03194159
Frankie	5.5	01/08/2012	male	Friska	RTN_VE	1	0.0028076	47	2	0.042553	0	0.00	381.8	0.00523880
Frankie	1	01/08/2012	male	Friska	RTP_FR	1	0.000387255	62	1	0.016129	1	1.00	1036.8	0.00096451
Lois	3	01/07/2010	male	Lisa	SEMUT_IN	2	0.05084763	392	2	0.005102	1	0.50	1289.9	0.00155051
Simba	1	01/04/2013	male	Sarabi	SEMUT_IN	2	0.05084763	63	3	0.047619	2	0.67	164.1	0.01827782
Cinnamon	5	01/04/2012	female	Cissy	SEMUT_IN	2	0.05084763	279	1	0.003584	0	0.00	566.7	0.00176465
Frankie	5	01/08/2012	male	Friska	SEMUT_IN	2	0.05084763	540	1	0.001852	0	0.00	499.1	0.00200361
Cinnamon	5.5	01/04/2012	female	Cissy	SEMUT_IN	2	0.05084763	811	2	0.002466	1	0.50	373.9	0.00534879
Eden	2.5	01/11/2014	female	Ellie	SEMUT_IN	2	0.05084763	89	2	0.022472	1	0.50	885.0	0.00225984
Lois	7	01/07/2010	male	Lisa	SEMUT_IN	2	0.05084763	879	1	0.001138	0	0.00	858.2	0.00116523
Simba	1	01/04/2013	male	Sarabi	SPG_FR	3	0.052972439	482	16	0.033195	3	0.19	164.1	0.09748172
Eden	0.5	01/11/2014	female	Ellie	SPG_FR	3	0.052972439	118	6	0.050847	0	0.00	1067.0	0.00562351
Frankie	4.5	01/08/2012	male	Friska	SPG_FR	3	0.052972439	556	7	0.012590	2	0.29	591.3	0.01183899
Rendang	1	01/04/2013	male	Raffi	TPSBT_FR	1	0.050766103	343	2	0.005831	0	0.00	139.2	0.01437126
Frankie	6.5	01/08/2012	male	Friska	TPSBT_FR	1	0.050766103	383	4	0.010444	0	0.00	242.5	0.01649258
Eden	0.5	01/11/2014	female	Ellie	UBR_FR	3	0.016015042	69	1	0.014493	0	0.00	1067.0	0.00093725
Eden	2.5	01/11/2014	female	Ellie	UBR_FR	3	0.016015042	28	2	0.071429	1	0.50	885.0	0.00225984
Frankie	4.5	01/08/2012	male	Friska	ULAT_IN	5	0.001289152	48	6	0.125000	2	0.33	591.3	0.01014771
Frankie	1.5	01/08/2012	male	Friska	UNK	0	0.000835656	18	17	0.944444	2	0.12	876.2	0.01940307
Cinnamon	2	01/04/2012	female	Cissy	UNK	0	0.000835656	6	2	0.333333	2	1.00	768.7	0.00260185
Lois	4	01/07/2010	male	Lisa	UNK	0	0.000835656	14	1	0.071429	1	1.00	1066.4	0.00093771
Cinnamon	5	01/04/2012	female	Cissy	UNK	0	0.000835656	1	2	2.000000	1	0.50	566.7	0.00352931
Lois	7	01/07/2010	male	Lisa	UNK	0	0.000835656	23	2	0.086957	1	0.50	858.2	0.00233046
Cinnamon	2	01/04/2012	female	Cissy	UNK_LV	0	0.00115667	16	1	0.062500	1	1.00	768.7	0.00130093
Frankie	1	01/08/2012	male	Friska	UNK_VE	4	0.000601265	19	1	0.052632	1	1.00	1036.8	0.00096451
Cinnamon	5	01/04/2012	female	Cissy	UNK_VE	4	0.000601265	1	1	1.000000	1	1.00	566.7	0.00176465
Frankie	1.5	01/08/2012	male	Friska	UNK_LV	0	0.00115667	4	1	0.250000	0	0.00	876.2	0.00114136
Ronaldo	1.5	01/01/2006	male	Raffi	MLK_FR	2.35	0.246574575	86	5	0.058140	3	0.60	139.6	0.03582945
Ronaldo	1.5	01/01/2006	male	Raffi	RAYAP_IN	3	0.086011424	3	4	1.333333	2	0.50	139.6	0.02866356
Lilly	7	01/01/2001	female	Lisa	UBR_FR	3	0.016015042	232	2	0.008621	1	0.50	809.5	0.00247070
Lilly	7	01/01/2001	female	Lisa	UNK	0	0.000835656	1	7	7.000000	6	0.86	809.5	0.00864746
Ronaldo	2	01/01/2006	male	Raffi	MLK_FR	2.35	0.246574575	16	5	0.312500	4	0.80	127.8	0.03913894
Ronaldo	2	01/01/2006	male	Raffi	RAYAP_IN	3	0.086011424	30	1	0.033333	1	1.00	127.8	0.00782779
Fredy	3	01/01/2005	male	Friska	BSG_FR	3	0.02116146	1214	33	0.027183	25	0.76	772.1	0.04274242
Fredy	3	01/01/2005	male	Friska	RAYAP_IN	3	0.086011424	96	3	0.031250	2	0.67	772.1	0.00388567
Fredy	3	01/01/2005	male	Friska	SPG_FR	3	0.052972439	538	8	0.014870	3	0.38	772.1	0.01036180
Fredy	3	01/01/2005	male	Friska	UBR_FR	3	0.016015042	134	5	0.037313	2	0.40	772.1	0.00647612
Fredy	3	01/01/2005	male	Friska	AKAR_VE	4	0.000779606	2	2	1.000000	2	1.00	772.1	0.00259045
Lilly	7	01/01/2001	female	Lisa	UNK_LV	0	0.00115667	13	3	0.230769	0	0.00	809.5	0.00370605
Lilly	7	01/01/2001	female	Lisa	MLK_FR	2.35	0.246574575	694	5	0.007205	0	0.00	809.5	0.00617675
Lilly	7	01/01/2001	female	Lisa	SPG_FR	3	0.052972439	202	2	0.009901	0	0.00	809.5	0.00247070
Lilly	7	01/01/2001	female	Lisa	RAYAP_IN	3	0.086011424	700	5	0.007143	1	0.20	809.5	0.00617675
Lilly	7	01/01/2001	female	Lisa	CMG_FR	5	0.030628831	15	17	1.133333	13	0.76	809.5	0.02100096
Ellie	9	01/03/1999	female	Friska	MLK_FR	2.35	0.246574575	572	1	0.001748	0	0.00	1953.4	0.00051193
Fredy	3	01/01/2005	male	Friska	AKAR_LV	0	0.002338818	76	3	0.039474	3	1.00	772.1	0.00388567
Lilly	7	01/01/2001	female	Lisa	AKAR_LV	0	0.002338818	157	1	0.006369	0	0.00	809.5	0.00123535
Fredy	3.5	01/01/2005	male	Friska	AKAR_LV	0	0.002338818	10	5	0.500000	0	0.00	659.6	0.00758093
Ellie	9	01/03/1999	female	Friska	AKAR_LV	0	0.002338818	35	1	0.028571	0	0.00	1953.4	0.00051193
Fredy	3	01/01/2005	male	Friska	SEMUT_IN	2	0.05084763	88	2	0.022727	2	1.00	772.1	0.00259045
Fredy	3	01/01/2005	male	Friska	PRD_FR	3	0.005951501	136	1	0.007353	0	0.00	772.1	0.00129522
Fredy	3	01/01/2005	male	Friska	RTN_VE	1	0.0028076	222	4	0.018018	3	0.75	772.1	0.00518090
Fredy	3	01/01/2005	male	Friska	KULBT_FR	1	0.00967119	486	5	0.010288	3	0.60	772.1	0.00647612
Fredy	3	01/01/2005	male	Friska	MLK_FR	2.35	0.246574575	331	1	0.003021	1	1.00	772.1	0.00129522
Fredy	3.5	01/01/2005	male	Friska	ASK_LV	0	0.018797165	14	2	0.142857	2	1.00	659.6	0.00303237
Fredy	3.5	01/01/2005	male	Friska	CMG_FR	5	0.030628831	76	2	0.026316	0	0.00	659.6	0.00303237
Fredy	3	01/01/2005	male	Friska	UNK	0	0.000835656	12	5	0.416667	2	0.40	772.1	0.00647612
Fredy	3	01/01/2005	male	Friska	RSKP_LV	0	0.02737283	48	1	0.020833	1	1.00	772.1	0.00129522
Lilly	7	01/01/2001	female	Lisa	KULBT_FR	1	0.00967119	109	4	0.036697	3	0.75	809.5	0.00494140
Ronaldo	2	01/01/2006	male	Raffi	RSKP_LV	0	0.02737283	25	2	0.080000	0	0.00	127.8	0.01565558
Ronaldo	1.5	01/01/2006	male	Raffi	SEMUT_IN	2	0.05084763	2	2	1.000000	1	0.50	139.6	0.01433178
Fredy	3.5	01/01/2005	male	Friska	RSKP_FR	1	0.008799865	981	2	0.002039	0	0.00	659.6	0.00303237
Chindy	6	01/01/2003	female	Cissy	MLK_FR	2.35	0.246574575	175	1	0.005714	1	1.00	251.2	0.00398116
Fredy	4	01/01/2005	male	Friska	SEMUT_IN	2	0.05084763	1	4	4.000000	1	0.25	514.5	0.00777529
Fredy	4	01/01/2005	male	Friska	RAYAP_IN	3	0.086011424	12	9	0.750000	6	0.67	514.5	0.01749441
Fredy	4	01/01/2005	male	Friska	SPG_FR	3	0.052972439	12	4	0.333333	1	0.25	514.5	0.00777529
Fredy	4	01/01/2005	male	Friska	RSKP_LV	0	0.02737283	3	1	0.333333	0	0.00	514.5	0.00194382
Frankie	6.5	01/08/2012	male	Friska	RAYAP_IN	3	0.086011424	30	2	0.066667	2	1.00	242.5	0.00824629
Frankie	7	01/08/2012	male	Friska	RAYAP_IN	3	0.086011424	60	6	0.100000	4	0.67	201.0	0.02985075
Frankie	7	01/08/2012	male	Friska	APKSB_LV	0	6.6241E-05	2	1	0.500000	0	0.00	201.0	0.00497512
