Focal	Age	Mother	Sex	DOB	TimeWindowSTART	TimeWindowEnd	NrBeggingEvents	NrSuccess	SuccessRate	FollowHours	BeggingFreq	NrFEventsMom	BeggingRate
Fredy	4	Friska	male	01/01/2005	01/07/2008	01/01/2009	35	18	0.51	514.5	0.06803	135	0.25925926
Ellie	10	Friska	female	01/03/1999	01/09/2008	01/03/2009	0	0		1794.7	0.00000	217	0.00000000
Diddy	3	Dodi	male	01/12/2005	01/06/2008	01/12/2008	0	0		58.2	0.00000	0	
Fredy	4.5	Friska	male	01/01/2005	01/01/2009	01/07/2009	0	0		504.1	0.00000	289	0.00000000
Albin	4.5	Alice	male	01/06/2006	01/06/2010	01/12/2010	0	0		24.5	0.00000	0	
Ellie	11.5	Friska	female	01/03/1999	01/03/2010	01/09/2010	0	0		1734.2	0.00000	0	
Ellie	12	Friska	female	01/03/1999	01/09/2010	01/03/2011	0	0		1734.2	0.00000	5187	0.00000000
Ellie	13	Friska	female	01/03/1999	01/09/2011	01/03/2012	0	0		1517.5	0.00000	708	0.00000000
Chindy	8	Cissy	female	01/01/2003	01/07/2010	01/01/2011	0	0		219.2	0.00000	835	0.00000000
Fredy	6	Friska	male	01/01/2005	01/07/2010	01/01/2011	4	0	0.00	334.8	0.01195	1943	0.00205867
Ronaldo	5	Raffi	male	01/01/2006	01/07/2010	01/01/2011	0	0		22.5	0.00000	0	
Diddy	5	Dodi	male	01/12/2005	01/06/2010	01/12/2010	3	0	0.00	52.2	0.05743	0	
Lois	0.5	Lisa	male	01/07/2010	01/07/2010	01/01/2011	43	7	0.16	1409.3	0.03051	0	
Lilly	10	Lisa	female	01/01/2001	01/07/2010	01/01/2011	0	0		479.8	0.00000	0	
Diddy	5.5	Dodi	male	01/12/2005	01/12/2010	01/06/2011	0	0		52.2	0.00000	240	0.00000000
Fredy	6.5	Friska	male	01/01/2005	01/01/2011	01/07/2011	0	0		261.7	0.00000	4680	0.00000000
Ronaldo	5.5	Raffi	male	01/01/2006	01/01/2011	01/07/2011	0	0		22.5	0.00000	0	
Chindy	8.5	Cissy	female	01/01/2003	01/01/2011	01/07/2011	0	0		189.5	0.00000	1377	0.00000000
Lois	1	Lisa	male	01/07/2010	01/01/2011	01/07/2011	0	0		1409.3	0.00000	4588	0.00000000
Diddy	6	Dodi	male	01/12/2005	01/06/2011	01/12/2011	0	0		29.2	0.00000	525	0.00000000
Fredy	7	Friska	male	01/01/2005	01/07/2011	01/01/2012	0	0		138.2	0.00000	708	0.00000000
Chindy	10.5	Cissy	female	01/01/2003	01/01/2013	01/07/2013	0	0		73.5	0.00000	374	0.00000000
Frankie	1	Friska	male	01/08/2012	01/02/2013	01/08/2013	93	46	0.49	1036.8	0.08970	3201	0.02905342
Lois	3	Lisa	male	01/07/2010	01/01/2013	01/07/2013	33	15	0.45	1289.9	0.02558	3081	0.01071081
Cinnamon	1	Cissy	female	01/04/2012	01/10/2012	01/04/2013	0	0		788.7	0.00000	0	
Fredy	8.5	Friska	male	01/01/2005	01/01/2013	01/07/2013	1	1	1.00	127.2	0.00786	2693	0.00037133
Lilly	12.5	Lisa	female	01/01/2001	01/01/2013	01/07/2013	0	0		368.6	0.00000	3081	0.00000000
Lilly	13	Lisa	female	01/01/2001	01/07/2013	01/01/2014	3	1	0.33	367.4	0.00817	6605	0.00045420
Albin	7.5	Alice	male	01/06/2006	01/06/2013	01/12/2013	0	0		12.0	0.00000	197	0.00000000
Simba	0.5	Sarabi	male	01/04/2013	01/04/2013	01/10/2013	3	0	0.00	164.1	0.01828	0	
Lois	3.5	Lisa	male	01/07/2010	01/07/2013	01/01/2014	16	5	0.31	1206.5	0.01326	6605	0.00242241
Cinnamon	1.5	Cissy	female	01/04/2012	01/04/2013	01/10/2013	3	1	0.33	788.7	0.00380	1406	0.00213371
Ellie	14.5	Friska	female	01/03/1999	01/03/2013	01/09/2013	0	0		1507.3	0.00000	5787	0.00000000
Fredy	9	Friska	male	01/01/2005	01/07/2013	01/01/2014	1	0	0.00	104.2	0.00960	5167	0.00019354
Diddy	8	Dodi	male	01/12/2005	01/06/2013	01/12/2013	1	0	0.00	12.6	0.07916	211	0.00473934
Dalia	1	Dodi	female	01/10/2012	01/04/2013	01/10/2013	0	0		36.3	0.00000	0	
Chindy	11	Cissy	female	01/01/2003	01/07/2013	01/01/2014	0	0		44.3	0.00000	5009	0.00000000
Frankie	1.5	Friska	male	01/08/2012	01/08/2013	01/02/2014	28	6	0.21	876.2	0.03196	4659	0.00600987
Ellie	15	Friska	female	01/03/1999	01/09/2013	01/03/2014	0	0		1507.3	0.00000	4200	0.00000000
Simba	1	Sarabi	male	01/04/2013	01/10/2013	01/04/2014	59	22	0.37	164.1	0.35946	3011	0.01959482
Cinnamon	2	Cissy	female	01/04/2012	01/10/2013	01/04/2014	8	4	0.50	768.7	0.01041	4038	0.00198118
Rendang	1	Raffi	male	01/04/2013	01/10/2013	01/04/2014	26	8	0.31	139.2	0.18683	692	0.03757225
Fredy	9.5	Friska	male	01/01/2005	01/01/2014	01/07/2014	0	0		95.8	0.00000	3977	0.00000000
Lois	4	Lisa	male	01/07/2010	01/01/2014	01/07/2014	8	2	0.25	1066.4	0.00750	3906	0.00204813
Cinnamon	2.5	Cissy	female	01/04/2012	01/04/2014	01/10/2014	4	1	0.25	655.4	0.00610	1211	0.00330306
Frankie	2	Friska	male	01/08/2012	01/02/2014	01/08/2014	14	8	0.57	793.0	0.01765	3977	0.00352024
Dalia	2	Dodi	female	01/10/2012	01/04/2014	01/10/2014	6	2	0.33	29.2	0.20548	0	
Rendang	1.5	Raffi	male	01/04/2013	01/04/2014	01/10/2014	0	0		82.1	0.00000	765	0.00000000
Lois	4.5	Lisa	male	01/07/2010	01/07/2014	01/01/2015	1	1	1.00	907.9	0.00110	0	
Eden	0	Ellie	female	01/11/2014	01/05/2014	01/11/2014	0	0		1067.0	0.00000	0	
Ellie	15.5	Friska	female	01/03/1999	01/03/2014	01/09/2014	0	0		1459.4	0.00000	1850	0.00000000
Lilly	14	Lisa	female	01/01/2001	01/07/2014	01/01/2015	0	0		211.2	0.00000	0	
Ellie	16	Friska	female	01/03/1999	01/09/2014	01/03/2015	0	0		1459.4	0.00000	1997	0.00000000
Frankie	2.5	Friska	male	01/08/2012	01/08/2014	01/02/2015	0	0		657.1	0.00000	1543	0.00000000
Eden	0.5	Ellie	female	01/11/2014	01/11/2014	01/05/2015	30	1	0.03	1067.0	0.02812	3162	0.00948767
Amor	0.5	Alice	male	01/09/2014	01/09/2014	01/03/2015	0	0		70.9	0.00000	819	0.00000000
Cinnamon	3	Cissy	female	01/04/2012	01/10/2014	01/04/2015	2	2	1.00	604.0	0.00331	1470	0.00136054
Fredy	10	Friska	male	01/01/2005	01/07/2014	01/01/2015	0	0		39.1	0.00000	1293	0.00000000
Fredy	10.5	Friska	male	01/01/2005	01/01/2015	01/07/2015	0	0		39.1	0.00000	2606	0.00000000
Ellie	17	Friska	female	01/03/1999	01/09/2015	01/03/2016	0	0		1291.2	0.00000	0	
Cinnamon	4.5	Cissy	female	01/04/2012	01/04/2016	01/10/2016	0	0		569.6	0.00000	800	0.00000000
Ellie	17.5	Friska	female	01/03/1999	01/03/2016	01/09/2016	0	0		1255.1	0.00000	821	0.00000000
Eden	2	Ellie	female	01/11/2014	01/05/2016	01/11/2016	6	3	0.50	937.7	0.00640	681	0.00881057
Lois	6.5	Lisa	male	01/07/2010	01/07/2016	01/01/2017	31	8	0.26	874.4	0.03545	856	0.03621495
Frankie	4.5	Friska	male	01/08/2012	01/08/2016	01/02/2017	53	20	0.38	591.3	0.08964	3024	0.01752646
Cinnamon	5	Cissy	female	01/04/2012	01/10/2016	01/04/2017	21	9	0.43	566.7	0.03706	4853	0.00432722
Ellie	18	Friska	female	01/03/1999	01/09/2016	01/03/2017	0	0		1240.4	0.00000	3024	0.00000000
Eden	2.5	Ellie	female	01/11/2014	01/11/2016	01/05/2017	39	12	0.31	885.0	0.04407	4218	0.00924609
Lilly	16	Lisa	female	01/01/2001	01/07/2016	01/01/2017	0	0		178.7	0.00000	856	0.00000000
Amor	2.5	Alice	male	01/09/2014	01/09/2016	01/03/2017	1	1	1.00	58.6	0.01707	0	
Tornado	3	Tiara	male	01/06/2014	01/12/2016	01/06/2017	2	2	1.00	50.6	0.03954	345	0.00579710
Lilly	16.5	Lisa	female	01/01/2001	01/01/2017	01/07/2017	0	0		178.7	0.00000	13259	0.00000000
Luther	1.5	Lilly	male	01/02/2016	01/02/2017	01/08/2017	7	0	0.00	72.8	0.09618	1016	0.00688976
Lois	7	Lisa	male	01/07/2010	01/01/2017	01/07/2017	6	2	0.33	858.2	0.00699	13259	0.00045252
Frankie	5	Friska	male	01/08/2012	01/02/2017	01/08/2017	10	1	0.10	499.1	0.02004	3998	0.00250125
Cinnamon	5.5	Cissy	female	01/04/2012	01/04/2017	01/10/2017	18	4	0.22	373.9	0.04814	5964	0.00301811
Ellie	18.5	Friska	female	01/03/1999	01/03/2017	01/09/2017	0	0		935.5	0.00000	3998	0.00000000
Pepito	4.5	Piniata	male	01/01/2013	01/01/2017	01/07/2017	9	0	0.00	48.2	0.18685	0	
Chindy	14.5	Cissy	female	01/01/2003	01/01/2017	01/07/2017	0	0		32.6	0.00000	8949	0.00000000
Eden	3	Ellie	female	01/11/2014	01/05/2017	01/11/2017	13	3	0.23	688.8	0.01887	4398	0.00295589
Amor	3	Alice	male	01/09/2014	01/03/2017	01/09/2017	2	1	0.50	58.6	0.03415	656	0.00304878
Frankie	5.5	Friska	male	01/08/2012	01/08/2017	01/02/2018	61	47	0.77	381.8	0.15978	1069	0.05706268
Pepito	5	Piniata	male	01/01/2013	01/07/2017	01/01/2018	0	0		48.2	0.00000	346	0.00000000
Lois	7.5	Lisa	male	01/07/2010	01/07/2017	01/01/2018	0	0		623.9	0.00000	3688	0.00000000
Eden	3.5	Ellie	female	01/11/2014	01/11/2017	01/05/2018	30	5	0.17	518.7	0.05784	698	0.04297994
Lois	8	Lisa	male	01/07/2010	01/01/2018	01/07/2018	5	1	0.20	501.4	0.00997	3633	0.00137627
Dalia	5.5	Dodi	female	01/10/2012	01/10/2017	01/04/2018	0	0		2.7	0.00000	0	
Pepito	5.5	Piniata	male	01/01/2013	01/01/2018	01/07/2018	3	2	0.67	31.1	0.09657	122	0.02459016
Lilly	17.5	Lisa	female	01/01/2001	01/01/2018	01/07/2018	0	0		103.1	0.00000	3633	0.00000000
Luther	2.5	Lilly	male	01/02/2016	01/02/2018	01/08/2018	0	0		36.9	0.00000	800	0.00000000
Ellie	19.5	Friska	female	01/03/1999	01/03/2018	01/09/2018	0	0		549.4	0.00000	1366	0.00000000
Amor	4	Alice	male	01/09/2014	01/03/2018	01/09/2018	0	0		20.9	0.00000	0	
Tornado	4	Tiara	male	01/06/2014	01/12/2017	01/06/2018	0	0		37.2	0.00000	0	
Cinnamon	6.5	Cissy	female	01/04/2012	01/04/2018	01/10/2018	29	15	0.52	219.2	0.13233	1138	0.02548330
Tornado	4.5	Tiara	male	01/06/2014	01/06/2018	01/12/2018	0	0		37.2	0.00000	0	
Lois	8.5	Lisa	male	01/07/2010	01/07/2018	01/01/2019	1	0	0.00	352.9	0.00283	1963	0.00050942
Frankie	6.5	Friska	male	01/08/2012	01/08/2018	01/02/2019	13	5	0.38	242.5	0.05360	1745	0.00744986
Eden	4	Ellie	female	01/11/2014	01/05/2018	01/11/2018	2	1	0.50	452.0	0.00443	1201	0.00166528
Ellie	20	Friska	female	01/03/1999	01/09/2018	01/03/2019	0	0		452.3	0.00000	2702	0.00000000
Lilly	18	Lisa	female	01/01/2001	01/07/2018	01/01/2019	0	0		39.1	0.00000	1963	0.00000000
Luther	3	Lilly	male	01/02/2016	01/08/2018	01/02/2019	10	7	0.70	25.1	0.39894	0	
Eden	4.5	Ellie	female	01/11/2014	01/11/2018	01/05/2019	19	11	0.58	356.9	0.05324	0	
Tornado	5	Tiara	male	01/06/2014	01/12/2018	01/06/2019	0	0		11.6	0.00000	0	
Lois	9	Lisa	male	01/07/2010	01/01/2019	01/07/2019	0	0		245.9	0.00000	1465	0.00000000
Cinnamon	7	Cissy	female	01/04/2012	01/10/2018	01/04/2019	1	1	1.00	186.0	0.00538	1781	0.00056148
Frankie	7	Friska	male	01/08/2012	01/02/2019	01/08/2019	12	8	0.67	201.0	0.05970	2016	0.00595238
Ellie	20.5	Friska	female	01/03/1999	01/03/2019	01/09/2019	0	0		407.4	0.00000	1059	0.00000000
Pepito	6.5	Piniata	male	01/01/2013	01/01/2019	01/07/2019	3	3	1.00	22.3	0.13473	0	
Eden	5	Ellie	female	01/11/2014	01/05/2019	01/11/2019	17	16	0.94	321.4	0.05289	0	
Lois	9.5	Lisa	male	01/07/2010	01/07/2019	01/01/2020	0	0		136.7	0.00000	0	
Frankie	7.5	Friska	male	01/08/2012	01/08/2019	01/02/2020	0	0		40.2	0.00000	0	
Cinnamon	7.5	Cissy	female	01/04/2012	01/04/2019	01/10/2019	0	0		79.4	0.00000	372	0.00000000
Pepito	7	Piniata	male	01/01/2013	01/07/2019	01/01/2020	1	1	1.00	22.3	0.04491	0	
Ellie	21	Friska	female	01/03/1999	01/09/2019	01/03/2020	0	0		198.3	0.00000	0	
Amor	5.5	Alice	male	01/09/2014	01/09/2019	01/03/2020	0	0		9.2	0.00000	0	
Cinnamon	8	Cissy	female	01/04/2012	01/10/2019	01/04/2020	0	0		43.5	0.00000	0	
Lilly	19	Lisa	female	01/01/2001	01/07/2019	01/01/2020	0	0		6.1	0.00000	0	
Luther	4	Lilly	male	01/02/2016	01/08/2019	01/02/2020	0	0		6.1	0.00000	0	
