ID	FN	Date	FollowHours	DOB	Begger.id	ExactAge	AgeClass	Sex	Mother	Target	Time	FoodItem	RelationtoB	Complexity	Success	Site
75	1688	24/11/2016	11.43	01/08/2012	Frankie	4.3	4.5	male	Friska	Friska	15:48	ASK_VE	mother	1	no	wild
76	1786	10/02/2017	12.23	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	16:22	ASK_VE	mother	1		wild
77	1839	26/02/2017	10.80	01/04/2012	Cinnamon	4.9	5	female	Cissy	Cissy	08:40	ASK_VE	mother	1	yes	wild
78	1997	22/06/2017	11.38	01/04/2012	Cinnamon	5.2	5	female	Cissy	Cissy	15:29	ASK_VE	mother	1	no	wild
79	2015	02/07/2017	11.93	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	15:54	ASK_VE	mother	1		wild
80	2020	03/07/2017	12.70	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	14:51	ASK_VE	mother	1		wild
81	2025	06/07/2017	11.90	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	11:43	ASK_VE	mother	1	no	wild
82	2026	06/07/2017	11.87	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	11:42	ASK_VE	mother	1		wild
83	2064	24/07/2017	12.67	01/01/2013	Pepito	4.6	4.5	male	Piniata	Piniata	07:40	ASK_VE	mother	1	no	wild
84	2064	24/07/2017	12.67	01/01/2013	Pepito	4.6	4.5	male	Piniata	Piniata	07:40	ASK_VE	mother	1	no	wild
85	1026	18/06/2013	11.23	01/08/2012	Frankie	0.9	1	male	Friska	Friska	16:55	ASK_LV	mother	0	yes	wild
86	1430	05/02/2015	10.87	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	07:21	ASK_LV	mother	0	no	wild
87	1793	11/02/2017	12.63	01/11/2014	Eden	2.3	2.5	female	Ellie	Ellie	07:18	ASK_LV	mother	0	no	wild
88	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:06	AT_VE	mother	4	yes	wild
89	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:48	AT_VE	mother	4		wild
90	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:53	AT_VE	mother	4		wild
91	1985	14/06/2017	11.30	01/08/2012	Frankie	4.9	5	male	Friska	Friska	13:52	ATB_VE	mother	4	yes	wild
92	1985	14/06/2017	11.30	01/08/2012	Frankie	4.9	5	male	Friska	Friska	13:53	ATB_VE	mother	4		wild
93	2017	02/07/2017	0.80	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	15:51	ATB_VE	mother	4	no	wild
94	2028	07/07/2017	11.53	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	15:51	ATB_VE	mother	4		wild
95	2064	24/07/2017	12.67	01/01/2013	Pepito	4.6	4.5	male	Piniata	Piniata	16:10	ATPS_VE	mother	4	no	wild
96	1123	09/10/2013	11.40	01/04/2013	Simba	0.5	0.5	male	Sarabi	Sarabi	10:40	BNGPR_FL	mother	1		wild
97	1375	20/09/2014	11.53	01/08/2012	Frankie	2.1	2	male	Friska	Friska	16:45	BNGPR_FR	mother	2	yes	wild
98	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	09:35	BSG_BK	mother	2	no	wild
99	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	10:01	BSG_BK	mother	2	yes	wild
100	2472	04/10/2018	9.93	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	10:37	BSG_BK	mother	2	no	wild
101	2472	04/10/2018	9.93	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	11:00	BSG_BK	mother	2	yes	wild
102	2472	04/10/2018	9.93	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	11:36	BSG_BK	mother	2	yes	wild
103	2489	08/10/2018	10.77	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	07:21	BSG_BK	mother	2	no	wild
104	2489	08/10/2018	10.77	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	08:23	BSG_BK	mother	2	no	wild
105	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	11:28	BSG_FR	mother	3	no	wild
106	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	11:37	BSG_FR	mother	3	yes	wild
107	1316	04/04/2014	11.95	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	17:11	BSG_FR	mother	3	no	wild
108	1316	04/04/2014	11.95	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	17:23	BSG_FR	mother	3	no	wild
109	1973	10/06/2017	11.63	01/08/2012	Frankie	4.9	5	male	Friska	Friska	08:17	CATCH	mother	3		wild
110	2478	07/07/2018	10.07	01/04/2012	Cinnamon	6.3	6.5	female	Cissy	Cissy	09:44	CATCH	mother	3	no	wild
111	1275	09/03/2014	10.67	01/01/2001	Lilly	13.2	13	female	Lisa	Lisa	10:47	CMG_FR	mother	5	no	wild
112	1275	09/03/2014	10.67	01/01/2001	Lilly	13.2	13	female	Lisa	Lisa	11:17	CMG_FR	mother	5	yes	wild
113	1275	09/03/2014	10.67	01/01/2001	Lilly	13.2	13	female	Lisa	Lisa	11:21	CMG_FR	mother	5		wild
114	1277	09/03/2014	11.85	01/07/2010	Lois	3.7	3.5	male	Lisa	Lisa	17:48	CMG_FR	mother	5		wild
115	1277	09/03/2014	11.85	01/07/2010	Lois	3.7	3.5	male	Lisa	Lisa	18:14	CMG_FR	mother	5		wild
116	1300	23/03/2014	11.43	01/04/2013	Rendang	1.0	1	male	Raffi	Raffi	08:28	CMG_FR	mother	5		wild
117	1325	04/05/2014	7.93	01/07/2010	Lois	3.8	4	male	Lisa	Lisa	17:14	CMG_FR	mother	5	no	wild
118	1326	04/05/2014	8.00	01/07/2010	Lois	3.8	4	male	Lisa	Lisa	17:13	CMG_FR	mother	5	no	wild
119	1334	09/05/2014	11.47	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	08:20	CMG_FR	mother	5	no	wild
120	1334	09/05/2014	11.47	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	14:07	CMG_FR	mother	5	yes	wild
121	1336	10/05/2014	12.22	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	07:02	CMG_FR	mother	5	no	wild
122	1336	10/05/2014	12.22	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	07:20	CMG_FR	mother	5		wild
123	1336	10/05/2014	12.22	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	09:07	CMG_FR	mother	5		wild
124	1344	22/05/2014	4.63	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	16:57	CMG_FR	mother	5		wild
125	1346	23/05/2014	11.62	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	07:34	CMG_FR	mother	5		wild
126	1346	23/05/2014	11.62	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	15:35	CMG_FR	mother	5		wild
127	1348	24/05/2014	10.15	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	13:53	CMG_FR	mother	5		wild
128	1348	24/05/2014	10.15	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	14:09	CMG_FR	mother	5		wild
129	1424	02/02/2015	7.92	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	17:53	CMG_FR	mother	5	no	wild
130	1703	11/12/2016	10.17	01/07/2010	Lois	6.5	6.5	male	Lisa	Lisa	12:28	CMG_FR	mother	5	yes	wild
131	1703	11/12/2016	10.17	01/07/2010	Lois	6.5	6.5	male	Lisa	Lisa	13:04	CMG_FR	mother	5		wild
132	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	11:45	CMG_FR	mother	5	yes	wild
133	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:40	CMG_FR	mother	5	yes	wild
134	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:44	CMG_FR	mother	5	yes	wild
135	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:47	CMG_FR	mother	5	yes	wild
136	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	11:07	CMG_FR	mother	5	yes	wild
137	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:15	CMG_FR	mother	5	yes	wild
138	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	12:57	CMG_FR	mother	5		wild
139	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	15:17	CMG_FR	mother	5	yes	wild
140	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:22	CMG_FR	mother	5	yes	wild
141	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:26	CMG_FR	mother	5	yes	wild
142	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:29	CMG_FR	mother	5	yes	wild
143	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:35	CMG_FR	mother	5	yes	wild
144	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:23	CMG_FR	mother	5	no	wild
145	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:06	CMG_FR	mother	5	yes	wild
146	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:14	CMG_FR	mother	5	yes	wild
147	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:54	CMG_FR	mother	5	no	wild
148	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	06:44	CMG_FR	mother	5	yes	wild
149	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:21	CMG_FR	mother	5	yes	wild
150	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:24	CMG_FR	mother	5	yes	wild
151	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:07	CMG_FR	mother	5	yes	wild
152	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:01	CMG_FR	mother	5	yes	wild
153	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:03	CMG_FR	mother	5	yes	wild
154	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:06	CMG_FR	mother	5	yes	wild
155	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:13	CMG_FR	mother	5	yes	wild
156	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:57	CMG_FR	mother	5	yes	wild
157	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:29	CMG_FR	mother	5	yes	wild
158	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:37	CMG_FR	mother	5	yes	wild
159	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:43	CMG_FR	mother	5	yes	wild
160	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:23	CMG_FR	mother	5	yes	wild
161	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:24	CMG_FR	mother	5	yes	wild
162	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:06	CMG_FR	mother	5	yes	wild
163	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:09	CMG_FR	mother	5	yes	wild
164	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:11	CMG_FR	mother	5	yes	wild
165	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:17	CMG_FR	mother	5	yes	wild
166	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:32	CMG_FR	mother	5	yes	wild
167	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:28	CMG_FR	mother	5	yes	wild
168	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:44	CMG_FR	mother	5	yes	wild
169	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:51	CMG_FR	mother	5	yes	wild
170	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:59	CMG_FR	mother	5	yes	wild
171	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:07	CMG_FR	mother	5	yes	wild
172	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:09	CMG_FR	mother	5	yes	wild
173	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:40	CMG_FR	mother	5	yes	wild
174	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:44	CMG_FR	mother	5	yes	wild
175	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:04	CMG_FR	mother	5	yes	wild
176	2312	20/03/2018	9.00	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:08	CMG_FR	mother	5	yes	wild
177	2351	08/05/2018	5.27	01/01/2013	Pepito	5.4	5.5	male	Piniata	Piniata	07:49	CMG_FR	mother	5	yes	wild
178	2351	08/05/2018	5.27	01/01/2013	Pepito	5.4	5.5	male	Piniata	Piniata	07:50	CMG_FR	mother	5	yes	wild
179	1231	07/02/2014	9.53	01/04/2013	Rendang	0.9	1	male	Raffi	Raffi	15:48	DEADWOOD	mother	3	yes	wild
180	2005	25/06/2017	11.68	01/04/2012	Cinnamon	5.2	5	female	Cissy	Cissy	12:05	DEADWOOD	mother	3		wild
181	2011	30/06/2017	11.33	01/04/2012	Cinnamon	5.2	5	female	Cissy	Cissy	08:30	DEADWOOD	mother	3	yes	wild
182	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	08:59	DEADWOOD	mother	3	no	wild
183	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	09:11	DEADWOOD	mother	3		wild
184	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	09:12	DEADWOOD	mother	3		wild
185	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	09:14	DEADWOOD	mother	3	no	wild
186	2360	18/05/2018	8.77	01/11/2014	Eden	3.5	3.5	female	Ellie	Ellie	13:09	DEADWOOD	mother	3	no	wild
187	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	09:33	FISTFISHING	mother	2		wild
188	755	16/02/2011	10.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	09:01	FISTFISHING	mother	2	no	wild
189	1373	20/09/2014	2.73	01/08/2012	Frankie	2.1	2	male	Friska	Friska	16:19	GESBENG	mother	3	yes	wild
190	1373	20/09/2014	2.73	01/08/2012	Frankie	2.1	2	male	Friska	Friska	16:33	GESBENG	mother	3	no	wild
191	1377	22/09/2014	10.77	01/08/2012	Frankie	2.1	2	male	Friska	Friska	14:39	GESBENG	mother	3		wild
192	1377	22/09/2014	10.77	01/08/2012	Frankie	2.1	2	male	Friska	Friska	15:16	GESBENG	mother	3	yes	wild
193	1379	23/09/2014	11.47	01/08/2012	Frankie	2.1	2	male	Friska	Friska	09:32	GESBENG	mother	3	no	wild
194	1379	23/09/2014	11.47	01/08/2012	Frankie	2.1	2	male	Friska	Friska	09:34	GESBENG	mother	3	yes	wild
195	1379	23/09/2014	11.47	01/08/2012	Frankie	2.1	2	male	Friska	Friska	17:32	GESBENG	mother	3	yes	wild
196	1003	09/06/2013	9.75	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	11:44	GLMB_LV	mother	0	yes	wild
197	991	03/06/2013	5.80	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	14:49	GLMB_LV	mother	0	no	wild
198	1981	12/06/2017	12.73	01/08/2012	Frankie	4.9	5	male	Friska	Friska	12:10	JAIR_FL	mother	0		wild
199	1001	08/06/2013	10.00	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	12:11	ADDG_VE	mother	1	yes	wild
200	1001	08/06/2013	10.00	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	14:47	KELINCI_VE	mother		no	wild
201	2020	03/07/2017	12.70	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	07:48	KKCNG_FR	mother	3		wild
202	2472	04/10/2018	9.93	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	08:26	KKCNG_FR	mother	3	no	wild
203	1256	21/02/2014	8.13	01/07/2010	Lois	3.6	3.5	male	Lisa	Lisa	08:58	KULBT_FR	mother	1		wild
204	1670	10/11/2016	10.53	01/08/2012	Frankie	4.3	4.5	male	Friska	Friska	08:55	MADU_IN	mother	4		wild
205	1766	04/02/2017	10.57	01/11/2014	Eden	2.3	2.5	female	Ellie	Ellie	15:14	MADU_IN	mother	4	no	wild
