ID	FN	Date	FollowHours	DOB	Beggar	ExactAge	AgeClass	Sex	Mother	Target	Time	Species_Item_Simple	RelationtoB	TargetRelation	ProcessingSteps_Complexity	PopFreq_Rarity	Success
23	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	12:04	APD_LV	mother	mother	0	0.000514642	
24	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	12:57	APD_LV	mother	mother	0	0.000514642	no
25	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	14:21	APD_LV	mother	mother	0	0.000514642	yes
26	1318	05/04/2014	12.70	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	13:44	APKS_LV	mother	mother	0	0.00180889	yes
27	1762	03/02/2017	11.92	01/11/2014	Eden	2.3	2.5	female	Ellie	Ellie	17:39	APKS_LV	mother	mother	0	0.00180889	yes
28	2364	20/05/2018	12.00	01/11/2014	Eden	3.6	3.5	female	Ellie	Ellie	12:41	APKS_LV	mother	mother	0	0.00180889	yes
29	2364	20/05/2018	12.00	01/11/2014	Eden	3.6	3.5	female	Ellie	Ellie	12:42	APKS_LV	mother	mother	0	0.00180889	no
30	826	13/02/2011	10.63	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	08:12	APKS_VE	mother	mother	1	0.003658543	no
31	1026	18/06/2013	11.23	01/08/2012	Frankie	0.9	1	male	Friska	Friska	09:12	APKS_VE	mother	mother	1	0.003658543	no
32	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	12:10	APKS_VE	mother	mother	1	0.003658543	yes
33	734	07/02/2011	1.63	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	15:55	APKSB_LV	mother	mother	0	6.6241E-05	no
34	1272	04/03/2014	10.70	01/08/2012	Frankie	1.6	1.5	male	Friska	Friska	09:20	APKSB_VE	mother	mother	1	1.01909E-05	no
35	1353	11/06/2014	1.13	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	17:09	APKSB_VE	mother	mother	1	1.01909E-05	
36	2018	03/07/2017	12.00	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	10:58	APLO_LV	mother	mother	0	0.002058567	no
37	2569	27/01/2019	12.20	01/08/2012	Frankie	6.5	6.5	male	Friska	Friska	11:14	APLO_VE	mother	mother	1	0.000779606	no
38	1784	09/02/2017	12.17	01/11/2014	Eden	2.3	2.5	female	Ellie	Ellie	16:42	APLO_LV	mother	mother	0	0.002058567	yes
39	2113	07/09/2017	10.90	01/09/2014	Amor	3.0	3	male	Alice	Alice	17:28	APLS_FR	mother	mother	1	0.000397446	yes
40	755	16/02/2011	10.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	14:46	APSB_LV	mother	mother	0	0.001177052	no
41	1314	03/04/2014	12.18	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	14:53	APSB_VE	mother	mother	1	0.001528639	no
42	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	11:54	ASDK_VE	mother	mother	4	0.004244521	no
43	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	11:54	ASDK_VE	mother	mother	4	0.004244521	
44	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	11:55	ASDK_VE	mother	mother	4	0.004244521	yes
45	1063	17/07/2013	11.40	01/07/2010	Lois	3.0	3	male	Lisa	Lisa	12:12	ASDK_VE	mother	mother	4	0.004244521	no
46	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	11:39	ASDK_VE	mother	mother	4	0.004244521	
47	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	11:53	ASDK_VE	mother	mother	4	0.004244521	yes
48	1742	29/01/2017	11.47	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	12:01	ASDK_VE	mother	mother	4	0.004244521	yes
49	1754	01/02/2017	11.70	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	14:33	ASDK_VE	mother	mother	4	0.004244521	yes
50	1754	01/02/2017	11.70	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	14:40	ASDK_VE	mother	mother	4	0.004244521	yes
51	2216	18/01/2018	0.13	01/11/2014	Eden	3.2	3	female	Ellie	Ellie	13:18	ASDK_VE	mother	mother	4	0.004244521	yes
52	2505	29/10/2018	9.80	01/07/2010	Lois	8.3	8.5	male	Lisa	Lisa	07:16	ASDK_VE	mother	mother	4	0.004244521	no
53	1005	10/06/2013	9.53	01/07/2010	Lois	2.9	3	male	Lisa	Lisa	14:27	ASK_FR	mother	mother	3	0.000636933	
54	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	13:18	ASK_LV	mother	mother	0	0.018797165	no
55	1081	24/08/2013	11.50	01/08/2012	Frankie	1.1	1	male	Friska	Friska	11:43	ASK_LV	mother	mother	0	0.018797165	yes
56	1081	24/08/2013	11.50	01/08/2012	Frankie	1.1	1	male	Friska	Friska	17:20	ASK_LV	mother	mother	0	0.018797165	yes
57	1148	29/10/2013	4.10	01/04/2012	Cinnamon	1.6	1.5	female	Cissy	Cissy	14:23	ASK_LV	mother	mother	0	0.018797165	yes
58	1367	01/09/2014	10.20	01/04/2012	Cinnamon	2.4	2.5	female	Cissy	Cissy	16:14	ASK_LV	mother	mother	0	0.018797165	
59	1428	04/02/2015	12.02	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	17:05	ASK_LV	mother	mother	0	0.018797165	no
60	1428	04/02/2015	12.02	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	17:07	ASK_LV	mother	mother	0	0.018797165	no
61	735	08/02/2011	10.70	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	13:12	ASK_VE	mother	mother	1	0.030791886	
62	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	13:24	ASK_VE	mother	mother	1	0.030791886	
63	766	12/02/2011	13.00	01/01/2005	Fredy	6.1	6	male	Friska	Friska	10:35	ASK_VE	mother	mother	1	0.030791886	no
64	750	14/02/2011	11.63	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	10:55	ASK_VE	mother	mother	1	0.030791886	no
65	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	16:22	ASK_VE	mother	mother	1	0.030791886	
66	1026	18/06/2013	11.23	01/08/2012	Frankie	0.9	1	male	Friska	Friska	16:48	ASK_VE	mother	mother	1	0.030791886	no
67	1029	19/06/2013	11.25	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:41	ASK_VE	mother	mother	1	0.030791886	yes
68	1034	21/06/2013	12.17	01/08/2012	Frankie	0.9	1	male	Friska	Friska	15:28	ASK_VE	mother	mother	1	0.030791886	yes
69	1081	24/08/2013	11.50	01/01/2005	Fredy	8.6	8.5	male	Friska	Friska	17:39	ASK_VE	mother	mother	1	0.030791886	yes
70	1242	29/01/2014	12.13	01/04/2013	Simba	0.8	1	male	Sarabi	Sarabi	16:13	ASK_VE	mother	mother	1	0.030791886	yes
71	1242	29/01/2014	12.13	01/04/2013	Simba	0.8	1	male	Sarabi	Sarabi	16:14	ASK_VE	mother	mother	1	0.030791886	yes
72	1221	04/02/2014	11.97	01/04/2013	Simba	0.8	1	male	Sarabi	Sarabi	17:30	ASK_VE	mother	mother	1	0.030791886	no
73	1302	24/03/2014	11.80	01/04/2013	Rendang	1.0	1	male	Raffi	Raffi	16:11	ASK_VE	mother	mother	1	0.030791886	yes
74	1326	04/05/2014	8.00	01/07/2010	Lois	3.8	4	male	Lisa	Lisa	12:39	ASK_VE	mother	mother	1	0.030791886	yes
75	1688	24/11/2016	11.43	01/08/2012	Frankie	4.3	4.5	male	Friska	Friska	15:48	ASK_VE	mother	mother	1	0.030791886	no
76	1786	10/02/2017	12.23	01/07/2010	Lois	6.6	6.5	male	Lisa	Lisa	16:22	ASK_VE	mother	mother	1	0.030791886	
77	1839	26/02/2017	10.80	01/04/2012	Cinnamon	4.9	5	female	Cissy	Cissy	08:40	ASK_VE	mother	mother	1	0.030791886	yes
78	1997	22/06/2017	11.38	01/04/2012	Cinnamon	5.2	5	female	Cissy	Cissy	15:29	ASK_VE	mother	mother	1	0.030791886	no
79	2015	02/07/2017	11.93	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	15:54	ASK_VE	mother	mother	1	0.030791886	
80	2020	03/07/2017	12.70	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	14:51	ASK_VE	mother	mother	1	0.030791886	
81	2025	06/07/2017	11.90	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	11:43	ASK_VE	mother	mother	1	0.030791886	no
82	2026	06/07/2017	11.87	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	11:42	ASK_VE	mother	mother	1	0.030791886	
83	2064	24/07/2017	12.67	01/01/2013	Pepito	4.6	4.5	male	Piniata	Piniata	07:40	ASK_VE	mother	mother	1	0.030791886	no
84	2064	24/07/2017	12.67	01/01/2013	Pepito	4.6	4.5	male	Piniata	Piniata	07:40	ASK_VE	mother	mother	1	0.030791886	no
85	1026	18/06/2013	11.23	01/08/2012	Frankie	0.9	1	male	Friska	Friska	16:55	ASK_LV	mother	mother	0	0.018797165	yes
86	1430	05/02/2015	10.87	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	07:21	ASK_LV	mother	mother	0	0.018797165	no
87	1793	11/02/2017	12.63	01/11/2014	Eden	2.3	2.5	female	Ellie	Ellie	07:18	ASK_LV	mother	mother	0	0.018797165	no
88	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:06	AT_VE	mother	mother	4	0.00225729	yes
89	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:48	AT_VE	mother	mother	4	0.00225729	
90	1024	17/06/2013	4.80	01/08/2012	Frankie	0.9	1	male	Friska	Friska	12:53	AT_VE	mother	mother	4	0.00225729	
91	1985	14/06/2017	11.30	01/08/2012	Frankie	4.9	5	male	Friska	Friska	13:52	ATB_VE	mother	mother	4	0.000193628	yes
92	1985	14/06/2017	11.30	01/08/2012	Frankie	4.9	5	male	Friska	Friska	13:53	ATB_VE	mother	mother	4	0.000193628	
93	2017	02/07/2017	0.80	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	15:51	ATB_VE	mother	mother	4	0.000193628	no
94	2028	07/07/2017	11.53	01/11/2014	Eden	2.7	2.5	female	Ellie	Ellie	15:51	ATB_VE	mother	mother	4	0.000193628	
95	2064	24/07/2017	12.67	01/01/2013	Pepito	4.6	4.5	male	Piniata	Piniata	16:10	ATPS_VE	mother	mother	4	0.000188532	no
96	1123	09/10/2013	11.40	01/04/2013	Simba	0.5	0.5	male	Sarabi	Sarabi	10:40	BNGPR_FL	mother	mother	1	0.006720916	
97	1375	20/09/2014	11.53	01/08/2012	Frankie	2.1	2	male	Friska	Friska	16:45	BNGPR_FR	mother	mother	2	0.000896802	yes
98	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	09:35	BSG_BK	mother	mother	2	0.002262386	no
99	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	10:01	BSG_BK	mother	mother	2	0.002262386	yes
100	2472	04/10/2018	9.93	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	10:37	BSG_BK	mother	mother	2	0.002262386	no
101	2472	04/10/2018	9.93	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	11:00	BSG_BK	mother	mother	2	0.002262386	yes
102	2472	04/10/2018	9.93	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	11:36	BSG_BK	mother	mother	2	0.002262386	yes
103	2489	08/10/2018	10.77	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	07:21	BSG_BK	mother	mother	2	0.002262386	no
104	2489	08/10/2018	10.77	01/04/2012	Cinnamon	6.5	6.5	female	Cissy	Cissy	08:23	BSG_BK	mother	mother	2	0.002262386	no
105	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	11:28	BSG_FR	mother	mother	3	0.02116146	no
106	1079	23/08/2013	11.00	01/08/2012	Frankie	1.1	1	male	Friska	Friska	11:37	BSG_FR	mother	mother	3	0.02116146	yes
107	1316	04/04/2014	11.95	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	17:11	BSG_FR	mother	mother	3	0.02116146	no
108	1316	04/04/2014	11.95	01/08/2012	Frankie	1.7	1.5	male	Friska	Friska	17:23	BSG_FR	mother	mother	3	0.02116146	no
109	1973	10/06/2017	11.63	01/08/2012	Frankie	4.9	5	male	Friska	Friska	08:17	CATCH	mother	mother	3	1.01909E-05	
110	2478	07/07/2018	10.07	01/04/2012	Cinnamon	6.3	6.5	female	Cissy	Cissy	09:44	CATCH	mother	mother	3	1.01909E-05	no
111	1275	09/03/2014	10.67	01/01/2001	Lilly	13.2	13	female	Lisa	Lisa	10:47	CMG_FR	mother	mother	5	0.030628831	no
112	1275	09/03/2014	10.67	01/01/2001	Lilly	13.2	13	female	Lisa	Lisa	11:17	CMG_FR	mother	mother	5	0.030628831	yes
113	1275	09/03/2014	10.67	01/01/2001	Lilly	13.2	13	female	Lisa	Lisa	11:21	CMG_FR	mother	mother	5	0.030628831	
114	1277	09/03/2014	11.85	01/07/2010	Lois	3.7	3.5	male	Lisa	Lisa	17:48	CMG_FR	mother	mother	5	0.030628831	
115	1277	09/03/2014	11.85	01/07/2010	Lois	3.7	3.5	male	Lisa	Lisa	18:14	CMG_FR	mother	mother	5	0.030628831	
116	1300	23/03/2014	11.43	01/04/2013	Rendang	1.0	1	male	Raffi	Raffi	08:28	CMG_FR	mother	mother	5	0.030628831	
117	1325	04/05/2014	7.93	01/07/2010	Lois	3.8	4	male	Lisa	Lisa	17:14	CMG_FR	mother	mother	5	0.030628831	no
118	1326	04/05/2014	8.00	01/07/2010	Lois	3.8	4	male	Lisa	Lisa	17:13	CMG_FR	mother	mother	5	0.030628831	no
119	1334	09/05/2014	11.47	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	08:20	CMG_FR	mother	mother	5	0.030628831	no
120	1334	09/05/2014	11.47	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	14:07	CMG_FR	mother	mother	5	0.030628831	yes
121	1336	10/05/2014	12.22	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	07:02	CMG_FR	mother	mother	5	0.030628831	no
122	1336	10/05/2014	12.22	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	07:20	CMG_FR	mother	mother	5	0.030628831	
123	1336	10/05/2014	12.22	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	09:07	CMG_FR	mother	mother	5	0.030628831	
124	1344	22/05/2014	4.63	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	16:57	CMG_FR	mother	mother	5	0.030628831	
125	1346	23/05/2014	11.62	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	07:34	CMG_FR	mother	mother	5	0.030628831	
126	1346	23/05/2014	11.62	01/07/2010	Lois	3.9	4	male	Lisa	Lisa	15:35	CMG_FR	mother	mother	5	0.030628831	
127	1348	24/05/2014	10.15	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	13:53	CMG_FR	mother	mother	5	0.030628831	
128	1348	24/05/2014	10.15	01/04/2013	Rendang	1.1	1	male	Raffi	Raffi	14:09	CMG_FR	mother	mother	5	0.030628831	
129	1424	02/02/2015	7.92	01/11/2014	Eden	0.3	0.5	female	Ellie	Ellie	17:53	CMG_FR	mother	mother	5	0.030628831	no
130	1703	11/12/2016	10.17	01/07/2010	Lois	6.5	6.5	male	Lisa	Lisa	12:28	CMG_FR	mother	mother	5	0.030628831	yes
131	1703	11/12/2016	10.17	01/07/2010	Lois	6.5	6.5	male	Lisa	Lisa	13:04	CMG_FR	mother	mother	5	0.030628831	
132	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	11:45	CMG_FR	mother	mother	5	0.030628831	yes
133	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:40	CMG_FR	mother	mother	5	0.030628831	yes
134	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:44	CMG_FR	mother	mother	5	0.030628831	yes
135	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:47	CMG_FR	mother	mother	5	0.030628831	yes
136	2291	11/03/2018	11.42	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	11:07	CMG_FR	mother	mother	5	0.030628831	yes
137	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:15	CMG_FR	mother	mother	5	0.030628831	yes
138	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	12:57	CMG_FR	mother	mother	5	0.030628831	
139	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	15:17	CMG_FR	mother	mother	5	0.030628831	yes
140	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:22	CMG_FR	mother	mother	5	0.030628831	yes
141	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:26	CMG_FR	mother	mother	5	0.030628831	yes
142	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:29	CMG_FR	mother	mother	5	0.030628831	yes
143	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	03:35	CMG_FR	mother	mother	5	0.030628831	yes
144	2294	12/03/2018	11.83	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:23	CMG_FR	mother	mother	5	0.030628831	no
145	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:06	CMG_FR	mother	mother	5	0.030628831	yes
146	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:14	CMG_FR	mother	mother	5	0.030628831	yes
147	2302	15/03/2018	10.55	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:54	CMG_FR	mother	mother	5	0.030628831	no
148	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	06:44	CMG_FR	mother	mother	5	0.030628831	yes
149	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:21	CMG_FR	mother	mother	5	0.030628831	yes
150	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:24	CMG_FR	mother	mother	5	0.030628831	yes
151	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:07	CMG_FR	mother	mother	5	0.030628831	yes
152	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:01	CMG_FR	mother	mother	5	0.030628831	yes
153	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:03	CMG_FR	mother	mother	5	0.030628831	yes
154	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:06	CMG_FR	mother	mother	5	0.030628831	yes
155	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:13	CMG_FR	mother	mother	5	0.030628831	yes
156	2306	17/03/2018	11.45	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:57	CMG_FR	mother	mother	5	0.030628831	yes
157	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:29	CMG_FR	mother	mother	5	0.030628831	yes
158	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:37	CMG_FR	mother	mother	5	0.030628831	yes
159	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:43	CMG_FR	mother	mother	5	0.030628831	yes
160	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:23	CMG_FR	mother	mother	5	0.030628831	yes
161	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:24	CMG_FR	mother	mother	5	0.030628831	yes
162	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:06	CMG_FR	mother	mother	5	0.030628831	yes
163	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:09	CMG_FR	mother	mother	5	0.030628831	yes
164	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:11	CMG_FR	mother	mother	5	0.030628831	yes
165	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:17	CMG_FR	mother	mother	5	0.030628831	yes
166	2308	18/03/2018	10.62	01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	16:32	CMG_FR	mother	mother	5	0.030628831	yes
167	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:28	CMG_FR	mother	mother	5	0.030628831	yes
168	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:44	CMG_FR	mother	mother	5	0.030628831	yes
169	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:51	CMG_FR	mother	mother	5	0.030628831	yes
170	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	07:59	CMG_FR	mother	mother	5	0.030628831	yes
171	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:07	CMG_FR	mother	mother	5	0.030628831	yes
172	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	08:09	CMG_FR	mother	mother	5	0.030628831	yes
173	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:40	CMG_FR	mother	mother	5	0.030628831	yes
174	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	10:44	CMG_FR	mother	mother	5	0.030628831	yes
175	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:04	CMG_FR	mother	mother	5	0.030628831	yes
176	2312	20/03/2018		01/08/2012	Frankie	5.6	5.5	male	Friska	Friska	13:08	CMG_FR	mother	mother	5	0.030628831	yes
177	2351	08/05/2018	5.27	01/01/2013	Pepito	5.4	5.5	male	Piniata	Piniata	07:49	CMG_FR	mother	mother	5	0.030628831	yes
178	2351	08/05/2018	5.27	01/01/2013	Pepito	5.4	5.5	male	Piniata	Piniata	07:50	CMG_FR	mother	mother	5	0.030628831	yes
179	1231	07/02/2014	9.53	01/04/2013	Rendang	0.9	1	male	Raffi	Raffi	15:48	DEADWOOD	mother	mother	3	4.07637E-05	yes
180	2005	25/06/2017	11.68	01/04/2012	Cinnamon	5.2	5	female	Cissy	Cissy	12:05	DEADWOOD	mother	mother	3	4.07637E-05	
181	2011	30/06/2017	11.33	01/04/2012	Cinnamon	5.2	5	female	Cissy	Cissy	08:30	DEADWOOD	mother	mother	3	4.07637E-05	yes
182	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	08:59	DEADWOOD	mother	mother	3	4.07637E-05	no
183	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	09:11	DEADWOOD	mother	mother	3	4.07637E-05	
184	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	09:12	DEADWOOD	mother	mother	3	4.07637E-05	
185	2013	01/07/2017	11.72	01/04/2012	Cinnamon	5.3	5.5	female	Cissy	Cissy	09:14	DEADWOOD	mother	mother	3	4.07637E-05	no
186	2360	18/05/2018	8.77	01/11/2014	Eden	3.5	3.5	female	Ellie	Ellie	13:09	DEADWOOD	mother	mother	3	4.07637E-05	no
187	739	09/02/2011	11.00	01/07/2010	Lois	0.6	0.5	male	Lisa	Lisa	09:33	FISTFISHING	mother	mother	2	1.01909E-05	
